file,manual_decision
2023/vehicles-05-00049-v2.pdf,exclude
2021/sensors-21-00335-v2.pdf,include
2023/EBSCO-FullText-07_29_2025.pdf,include
2024/Route_and_Speed_Co-optimization_for_Improving_Energy_Consumption_of_Connected_Vehicles.pdf, exclude
2021/reily-et-al-2021-real-time-recognition-of-team-behaviors-by-multisensory-graph-embedded-robot-learning.pdf,exclude
2022/electronics-11-02982-v2.pdf,include
2023/biomimetics-09-00010.pdf,include
